,edges,name,nodes,time
0,20,first,10,0.02175116539
1,20,first,11,0.0223889350891
2,20,first,12,0.0218598842621
3,20,first,13,0.017617225647
4,20,first,14,0.0200848579407
5,20,first,15,0.0242099761963
6,20,first,16,0.0178818702698
7,20,first,17,0.0197279453278
8,20,first,18,0.0217609405518
9,20,first,19,0.0209560394287
10,20,first,20,0.0179009437561
11,20,first,21,0.0243768692017
12,20,first,22,0.0211570262909
13,20,first,23,0.0180721282959
14,20,first,24,0.0186681747437
15,20,first,25,0.0237410068512
16,20,first,26,0.0232701301575
17,20,first,27,0.0168108940125
18,20,first,28,0.0219829082489
19,20,first,29,0.020534992218
20,20,first,30,0.0177819728851
21,21,first,10,0.0183880329132
22,21,first,11,0.0198740959167
23,21,first,12,0.0171129703522
24,21,first,13,0.0195319652557
25,21,first,14,0.0215678215027
26,21,first,15,0.0181639194489
27,21,first,16,0.0187349319458
28,21,first,17,0.021075963974
29,21,first,18,0.0209650993347
30,21,first,19,0.0174140930176
31,21,first,20,0.0203909873962
32,21,first,21,0.0210158824921
33,21,first,22,0.0183718204498
34,21,first,23,0.0207810401917
35,21,first,24,0.0206429958344
36,21,first,25,0.0172970294952
37,21,first,26,0.0211389064789
38,21,first,27,0.0218141078949
39,21,first,28,0.0226159095764
40,21,first,29,0.0179681777954
41,21,first,30,0.0232322216034
42,22,first,10,0.0205790996552
43,22,first,11,0.016979932785
44,22,first,12,0.0213429927826
45,22,first,13,0.0196309089661
46,22,first,14,0.0173728466034
47,22,first,15,0.0197830200195
48,22,first,16,0.0201549530029
49,22,first,17,0.017254114151
50,22,first,18,0.0206158161163
51,22,first,19,0.0208671092987
52,22,first,20,0.0207281112671
53,22,first,21,0.0170509815216
54,22,first,22,0.0208649635315
55,22,first,23,0.0207350254059
56,22,first,24,0.0175211429596
57,22,first,25,0.0205869674683
58,22,first,26,0.0193400382996
59,22,first,27,0.0224189758301
60,22,first,28,0.0178890228271
61,22,first,29,0.0213048458099
62,22,first,30,0.0201230049133
63,23,first,10,0.0178508758545
64,23,first,11,0.0220670700073
65,23,first,12,0.0192511081696
66,23,first,13,0.0180761814117
67,23,first,14,0.0224828720093
68,23,first,15,0.0206210613251
69,23,first,16,0.0191562175751
70,23,first,17,0.0179691314697
71,23,first,18,0.0208170413971
72,23,first,19,0.0211460590363
73,23,first,20,0.0167210102081
74,23,first,21,0.0206069946289
75,23,first,22,0.0199859142303
76,23,first,23,0.0172891616821
77,23,first,24,0.0206599235535
78,23,first,25,0.0209250450134
79,23,first,26,0.0175490379333
80,23,first,27,0.0210809707642
81,23,first,28,0.0215921401978
82,23,first,29,0.0168359279633
83,23,first,30,0.0212950706482
84,24,first,10,0.0202231407166
