,edges,name,nodes,time
0,20,first,10,0.0229890346527
1,20,first,11,0.0221030712128
2,20,first,12,0.0155310630798
3,20,first,13,0.0230650901794
4,20,first,14,0.0210840702057
5,20,first,15,0.0233840942383
6,20,first,16,0.0222928524017
7,20,first,17,0.0182230472565
8,20,first,18,0.0226528644562
9,20,first,19,0.0186100006104
10,20,first,20,0.0179440975189
11,21,first,10,0.0196211338043
12,21,first,11,0.0194528102875
13,21,first,12,0.0221130847931
14,21,first,13,0.0187048912048
15,21,first,14,0.0198709964752
16,21,first,15,0.0176630020142
17,21,first,16,0.0171511173248
18,21,first,17,0.0217571258545
19,21,first,18,0.0228281021118
20,21,first,19,0.015762090683
21,21,first,20,0.0218541622162
22,22,first,10,0.0198440551758
23,22,first,11,0.0195090770721
24,22,first,12,0.0193290710449
25,22,first,13,0.0190432071686
26,22,first,14,0.0186350345612
27,22,first,15,0.0166828632355
28,22,first,16,0.0210309028625
29,22,first,17,0.0167620182037
30,22,first,18,0.0196318626404
31,22,first,19,0.0192790031433
32,22,first,20,0.015702009201
33,23,first,10,0.0258820056915
34,23,first,11,0.0214841365814
35,23,first,12,0.0210402011871
36,23,first,13,0.0157740116119
37,23,first,14,0.0185449123383
38,23,first,15,0.0229341983795
39,23,first,16,0.0228140354156
40,23,first,17,0.0156679153442
41,23,first,18,0.0186460018158
42,23,first,19,0.0159270763397
43,23,first,20,0.0179541110992
44,24,first,10,0.0209469795227
45,24,first,11,0.021518945694
46,24,first,12,0.0166330337524
47,24,first,13,0.0188961029053
48,24,first,14,0.0237860679626
49,24,first,15,0.015921831131
50,24,first,16,0.021735906601
51,24,first,17,0.0213580131531
52,24,first,18,0.0161368846893
53,24,first,19,0.0446929931641
54,24,first,20,0.0342419147491
55,25,first,10,0.0206460952759
56,25,first,11,0.018187046051
57,25,first,12,0.0225009918213
58,25,first,13,0.0168108940125
59,25,first,14,0.0169699192047
60,25,first,15,0.0186071395874
61,25,first,16,0.0160298347473
62,25,first,17,0.0228219032288
63,25,first,18,0.0212440490723
64,25,first,19,0.0166831016541
65,25,first,20,0.0182149410248
